Kind,Name,AvgCyclomatic,MaxCyclomatic,Cyclomatic,RatioCommentToCode,CountLineCodeExe,CountLineCode,AvgCountLineCode
File,"auth.c",6,16,,"0,01",122,159,16
Function,"auth_add",,,7,"0,00",16,20,
Function,"auth_change_password",,,2,"0,00",3,5,
Function,"auth_check",,,9,"0,00",16,20,
Function,"auth_delete",,,2,"0,00",3,5,
Function,"auth_init",,,3,"0,00",7,10,
Function,"auth_rename_user",,,4,"0,00",10,13,
Function,"cancella_utente",,,3,"0,14",10,14,
Function,"crea_utente",,,3,"0,10",16,20,
Static Function,"ct_str_eq",,,5,"0,00",7,10,
Function,"demo_comment_mix",,,1,"0,86",4,7,
Function,"demo_ub",,,2,"0,00",10,12,
Function,"demo_unspecified",,,1,"0,00",4,6,
Function,"effettua_login",,,4,"0,00",16,19,
Static Function,"f_side",,,1,"0,00",1,1,
Static Function,"find_user",,,5,"0,00",15,20,
Static Function,"g_side",,,1,"0,00",1,1,
Function,"main",,,15,"0,04",42,51,
File,"main.c",10,71,,"0,07",236,284,26
Function,"modifica_utente",,,71,"0,00",125,143,
Function,"read_line",,,3,"0,00",7,10,
Static Function,"rewrite_db_skip_or_replace",,,16,"0,02",42,51,
Static Function,"trim_nl",,,2,"0,00",2,4,
